map_id,title,manifest_url,image_service_url,area_sq_m,scale,bounds,center,viewer_url,editor_url,xyz_tile_url_arcgis,xyz_tile_url_standard,tilejson_url,annotation_url
b09b6ac667f56d2e,[Hubei Province],https://purl.stanford.edu/hf310mm7984/iiif/manifest,https://stacks.stanford.edu/image/iiif/hf310mm7984%2Fhf310mm7984_00_0001,18067800.37,1.27,"[114.257166, 30.533132, 114.307919, 30.566851]","[114.282542, 30.549992]",https://viewer.allmaps.org/?url=https://annotations.allmaps.org/maps/b09b6ac667f56d2e,https://editor.allmaps.org/images?url=https%3A%2F%2Fstacks.stanford.edu%2Fimage%2Fiiif%2Fhf310mm7984%252Fhf310mm7984_00_0001/info.json,https://allmaps.xyz/maps/b09b6ac667f56d2e/{level}/{col}/{row}.png,https://allmaps.xyz/maps/b09b6ac667f56d2e/{z}/{x}/{y}.png,https://allmaps.xyz/maps/b09b6ac667f56d2e/tiles.json,https://annotations.allmaps.org/maps/b09b6ac667f56d2e
c61cc8439a8067ef,[Hubei Province],https://purl.stanford.edu/nx535wm9591/iiif/manifest,https://stacks.stanford.edu/image/iiif/nx535wm9591%2Fnx535wm9591_00_0001,16411236.45,1.34,"[114.20885, 30.566038, 114.262145, 30.596886]","[114.235497, 30.581462]",https://viewer.allmaps.org/?url=https://annotations.allmaps.org/maps/c61cc8439a8067ef,https://editor.allmaps.org/images?url=https%3A%2F%2Fstacks.stanford.edu%2Fimage%2Fiiif%2Fnx535wm9591%252Fnx535wm9591_00_0001/info.json,https://allmaps.xyz/maps/c61cc8439a8067ef/{level}/{col}/{row}.png,https://allmaps.xyz/maps/c61cc8439a8067ef/{z}/{x}/{y}.png,https://allmaps.xyz/maps/c61cc8439a8067ef/tiles.json,https://annotations.allmaps.org/maps/c61cc8439a8067ef
c75adb55fa7daba4,[Hubei Province],https://purl.stanford.edu/xd601bh7731/iiif/manifest,https://stacks.stanford.edu/image/iiif/xd601bh7731%2Fxd601bh7731_00_0001,18643111.34,1.25,"[114.207172, 30.465981, 114.257813, 30.500992]","[114.232493, 30.483487]",https://viewer.allmaps.org/?url=https://annotations.allmaps.org/maps/c75adb55fa7daba4,https://editor.allmaps.org/images?url=https%3A%2F%2Fstacks.stanford.edu%2Fimage%2Fiiif%2Fxd601bh7731%252Fxd601bh7731_00_0001/info.json,https://allmaps.xyz/maps/c75adb55fa7daba4/{level}/{col}/{row}.png,https://allmaps.xyz/maps/c75adb55fa7daba4/{z}/{x}/{y}.png,https://allmaps.xyz/maps/c75adb55fa7daba4/tiles.json,https://annotations.allmaps.org/maps/c75adb55fa7daba4
c86f0415f4da2c23,[Hubei Province],https://purl.stanford.edu/vx015qp7296/iiif/manifest,https://stacks.stanford.edu/image/iiif/vx015qp7296%2Fvx015qp7296_00_0001,19164608.25,1.24,"[114.207113, 30.666019, 114.258876, 30.702393]","[114.232995, 30.684206]",https://viewer.allmaps.org/?url=https://annotations.allmaps.org/maps/c86f0415f4da2c23,https://editor.allmaps.org/images?url=https%3A%2F%2Fstacks.stanford.edu%2Fimage%2Fiiif%2Fvx015qp7296%252Fvx015qp7296_00_0001/info.json,https://allmaps.xyz/maps/c86f0415f4da2c23/{level}/{col}/{row}.png,https://allmaps.xyz/maps/c86f0415f4da2c23/{z}/{x}/{y}.png,https://allmaps.xyz/maps/c86f0415f4da2c23/tiles.json,https://annotations.allmaps.org/maps/c86f0415f4da2c23
cb62aff299b35f40,[Hubei Province],https://purl.stanford.edu/qn150ws7040/iiif/manifest,https://stacks.stanford.edu/image/iiif/qn150ws7040%2Fqn150ws7040_00_0001,17864789.82,1.28,"[114.15747, 30.59941, 114.206315, 30.634801]","[114.181893, 30.617106]",https://viewer.allmaps.org/?url=https://annotations.allmaps.org/maps/cb62aff299b35f40,https://editor.allmaps.org/images?url=https%3A%2F%2Fstacks.stanford.edu%2Fimage%2Fiiif%2Fqn150ws7040%252Fqn150ws7040_00_0001/info.json,https://allmaps.xyz/maps/cb62aff299b35f40/{level}/{col}/{row}.png,https://allmaps.xyz/maps/cb62aff299b35f40/{z}/{x}/{y}.png,https://allmaps.xyz/maps/cb62aff299b35f40/tiles.json,https://annotations.allmaps.org/maps/cb62aff299b35f40
ceb594ff21e80873,[Hubei Province],https://purl.stanford.edu/kr499qf5828/iiif/manifest,https://stacks.stanford.edu/image/iiif/kr499qf5828%2Fkr499qf5828_00_0001,19434717.52,1.22,"[114.307191, 30.46631, 114.361659, 30.501001]","[114.334425, 30.483656]",https://viewer.allmaps.org/?url=https://annotations.allmaps.org/maps/ceb594ff21e80873,https://editor.allmaps.org/images?url=https%3A%2F%2Fstacks.stanford.edu%2Fimage%2Fiiif%2Fkr499qf5828%252Fkr499qf5828_00_0001/info.json,https://allmaps.xyz/maps/ceb594ff21e80873/{level}/{col}/{row}.png,https://allmaps.xyz/maps/ceb594ff21e80873/{z}/{x}/{y}.png,https://allmaps.xyz/maps/ceb594ff21e80873/tiles.json,https://annotations.allmaps.org/maps/ceb594ff21e80873
d26dd6ecaba2f8d9,[Hubei Province],https://purl.stanford.edu/tw795hx3294/iiif/manifest,https://stacks.stanford.edu/image/iiif/tw795hx3294%2Ftw795hx3294_00_0001,16419862.34,1.33,"[114.302628, 30.534238, 114.357554, 30.56875]","[114.330091, 30.551494]",https://viewer.allmaps.org/?url=https://annotations.allmaps.org/maps/d26dd6ecaba2f8d9,https://editor.allmaps.org/images?url=https%3A%2F%2Fstacks.stanford.edu%2Fimage%2Fiiif%2Ftw795hx3294%252Ftw795hx3294_00_0001/info.json,https://allmaps.xyz/maps/d26dd6ecaba2f8d9/{level}/{col}/{row}.png,https://allmaps.xyz/maps/d26dd6ecaba2f8d9/{z}/{x}/{y}.png,https://allmaps.xyz/maps/d26dd6ecaba2f8d9/tiles.json,https://annotations.allmaps.org/maps/d26dd6ecaba2f8d9
d30189c6dc83a3c6,[Hubei Province],https://purl.stanford.edu/xx343kx2598/iiif/manifest,https://stacks.stanford.edu/image/iiif/xx343kx2598%2Fxx343kx2598_00_0001,18120223.19,1.28,"[114.357409, 30.665795, 114.40873, 30.699598]","[114.383069, 30.682697]",https://viewer.allmaps.org/?url=https://annotations.allmaps.org/maps/d30189c6dc83a3c6,https://editor.allmaps.org/images?url=https%3A%2F%2Fstacks.stanford.edu%2Fimage%2Fiiif%2Fxx343kx2598%252Fxx343kx2598_00_0001/info.json,https://allmaps.xyz/maps/d30189c6dc83a3c6/{level}/{col}/{row}.png,https://allmaps.xyz/maps/d30189c6dc83a3c6/{z}/{x}/{y}.png,https://allmaps.xyz/maps/d30189c6dc83a3c6/tiles.json,https://annotations.allmaps.org/maps/d30189c6dc83a3c6
d83c0d0094982beb,[Hubei Province],https://purl.stanford.edu/xh267xv6156/iiif/manifest,https://stacks.stanford.edu/image/iiif/xh267xv6156%2Fxh267xv6156_00_0001,18891961.84,1.24,"[114.206036, 30.632178, 114.25825, 30.66709]","[114.232143, 30.649634]",https://viewer.allmaps.org/?url=https://annotations.allmaps.org/maps/d83c0d0094982beb,https://editor.allmaps.org/images?url=https%3A%2F%2Fstacks.stanford.edu%2Fimage%2Fiiif%2Fxh267xv6156%252Fxh267xv6156_00_0001/info.json,https://allmaps.xyz/maps/d83c0d0094982beb/{level}/{col}/{row}.png,https://allmaps.xyz/maps/d83c0d0094982beb/{z}/{x}/{y}.png,https://allmaps.xyz/maps/d83c0d0094982beb/tiles.json,https://annotations.allmaps.org/maps/d83c0d0094982beb
d9a0648b01669405,[Hubei Province],https://purl.stanford.edu/km629rd3422/iiif/manifest,https://stacks.stanford.edu/image/iiif/km629rd3422%2Fkm629rd3422_00_0001,18698553.38,1.25,"[114.356464, 30.462474, 114.404849, 30.50378]","[114.380657, 30.483127]",https://viewer.allmaps.org/?url=https://annotations.allmaps.org/maps/d9a0648b01669405,https://editor.allmaps.org/images?url=https%3A%2F%2Fstacks.stanford.edu%2Fimage%2Fiiif%2Fkm629rd3422%252Fkm629rd3422_00_0001/info.json,https://allmaps.xyz/maps/d9a0648b01669405/{level}/{col}/{row}.png,https://allmaps.xyz/maps/d9a0648b01669405/{z}/{x}/{y}.png,https://allmaps.xyz/maps/d9a0648b01669405/tiles.json,https://annotations.allmaps.org/maps/d9a0648b01669405
d9f5e5451c24c5c6,[Hubei Province],https://purl.stanford.edu/hn031vp2535/iiif/manifest,https://stacks.stanford.edu/image/iiif/hn031vp2535%2Fhn031vp2535_00_0001,19313810.43,1.23,"[114.156411, 30.632842, 114.208999, 30.668258]","[114.182705, 30.65055]",https://viewer.allmaps.org/?url=https://annotations.allmaps.org/maps/d9f5e5451c24c5c6,https://editor.allmaps.org/images?url=https%3A%2F%2Fstacks.stanford.edu%2Fimage%2Fiiif%2Fhn031vp2535%252Fhn031vp2535_00_0001/info.json,https://allmaps.xyz/maps/d9f5e5451c24c5c6/{level}/{col}/{row}.png,https://allmaps.xyz/maps/d9f5e5451c24c5c6/{z}/{x}/{y}.png,https://allmaps.xyz/maps/d9f5e5451c24c5c6/tiles.json,https://annotations.allmaps.org/maps/d9f5e5451c24c5c6
ea2a184292c163ac,[Hubei Province],https://purl.stanford.edu/xd358rj9898/iiif/manifest,https://stacks.stanford.edu/image/iiif/xd358rj9898%2Fxd358rj9898_00_0001,17280687.93,1.30,"[114.30911, 30.602341, 114.360889, 30.634149]","[114.335, 30.618245]",https://viewer.allmaps.org/?url=https://annotations.allmaps.org/maps/ea2a184292c163ac,https://editor.allmaps.org/images?url=https%3A%2F%2Fstacks.stanford.edu%2Fimage%2Fiiif%2Fxd358rj9898%252Fxd358rj9898_00_0001/info.json,https://allmaps.xyz/maps/ea2a184292c163ac/{level}/{col}/{row}.png,https://allmaps.xyz/maps/ea2a184292c163ac/{z}/{x}/{y}.png,https://allmaps.xyz/maps/ea2a184292c163ac/tiles.json,https://annotations.allmaps.org/maps/ea2a184292c163ac
f43105026c7bddde,[Hubei Province],https://purl.stanford.edu/vv253fg4183/iiif/manifest,https://stacks.stanford.edu/image/iiif/vv253fg4183%2Fvv253fg4183_00_0001,19017573.33,1.24,"[114.205609, 30.600303, 114.258593, 30.636056]","[114.232101, 30.61818]",https://viewer.allmaps.org/?url=https://annotations.allmaps.org/maps/f43105026c7bddde,https://editor.allmaps.org/images?url=https%3A%2F%2Fstacks.stanford.edu%2Fimage%2Fiiif%2Fvv253fg4183%252Fvv253fg4183_00_0001/info.json,https://allmaps.xyz/maps/f43105026c7bddde/{level}/{col}/{row}.png,https://allmaps.xyz/maps/f43105026c7bddde/{z}/{x}/{y}.png,https://allmaps.xyz/maps/f43105026c7bddde/tiles.json,https://annotations.allmaps.org/maps/f43105026c7bddde
