city,collection,title,manifest_url
Hotan,Bibliothèque nationale de France (BnF) / Gallica,"La Cosmographie universelle de tout le monde en laquelle, suivant les auteurs plus dignes de foy, sont au vray descriptes toutes les parties habitables & non habitables de la terre et de la mer, leurs assiettes & choses qu'elles produisent: puis la description & peincture topographique des régions, la différence de l'air de chacun pays d'où advient la diversité tant de la complexion des hommes que des figures des bestes brutes. Et encor l'origine, noms ou appellations tant modernes qu'anciennes & description de plusieurs villes, citez & isles avec leurs plantz & pourtraictz & sur tout de la France, non encor iusques à present veus ny imprimez. S'y voyent aussi d'avantage, les origines, accroissemens & changemens des monarchies, empires, royaumes, estatz & republiques: ensemble les moeurs, façons de vivre, loix, coustumes, & religion de tous les peuples & natio[n]s du monde: & la succession des papes, cardinaux, archevesques & evesques, chacun en leur diocese, tant anciens que modernes: Avec plusieurs autres choses, le sommaire desquelles se void en la page suivante auteur en partie Munster, mais beaucoup plus augmentée, ornée & enrichie par François de Belle-Forest, Comingeois, tant de ses recerches [sic], comme de l'aide de plusieurs memoires envoyez de diverses villes de France, par hommes amateurs de l'histoire & de leur patrie Avec trois tables, l'une des plantz & pourtraicts des isles et des villes. La seconde, des tiltres & chapitres. Et la troisiesme, de tous les noms propres & des matières co[m]prises en tout l'oeuvre",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k324274q/manifest.json
Hotan,David Rumsey Map Collection,Khotan -- Noatak.,https://www.davidrumsey.com/luna/servlet/iiif/m/RUMSEY~8~1~336855~90104845/manifest
Hotan,David Rumsey Map Collection,Cover: Nanzenbushu bankoku shoka no zu.,https://www.davidrumsey.com/luna/servlet/iiif/m/RUMSEY~8~1~34363~1171566/manifest
Hotan,David Rumsey Map Collection,Nanzenbushu bankoku shoka no zu.,https://www.davidrumsey.com/luna/servlet/iiif/m/RUMSEY~8~1~34362~1171565/manifest
Hotan,Internet Archive,Supplement: Localization and broadband follow-up of the gravitational-wave transient GW150914,https://iiif.archivelab.org/iiif/arxiv-1604.07864/manifest.json
Hotan,Bibliothèque nationale de France (BnF) / Gallica,"Carte raisonnée de la France suivant la Division décretée par l'Assemblée Nationale, 1° en 83 Départemens comprenant 547 Districts, autant de Tribunaux criminels que de Départements et autant de Tribunaux civils que de Districts ; 2° en 10 Arrondissemens Métropolitains renfermant autant d'Evêchésque de Départemens / Par Louis Brion, Geographe du Roi",https://gallica.bnf.fr/iiif/ark:/12148/btv1b8493130z/manifest.json
Hotan,Bibliothèque nationale de France (BnF) / Gallica,Atlas de la France divisée en ses 40 gouvernemens généraux et militaires : en autant de cartes particulieres avec les principales routes qui traversent les provinces du royaume : Assujetties aux nouvelles observations de M. M. de l'Académie R[oya]le des Sciences : Dédié au Roi,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53200899j/manifest.json
Hotan,Bibliothèque nationale de France (BnF) / Gallica,Atlas de la France divisée en ses 40 gouvernemens généraux et militaires en autant de cartes particulieres avec les principales routes qui traversent les Provinces du Royaume : Assujetties aux nouvelles observations de M. M. de l'Académie R[oya]le des Sciences. Dédié au Roi.,https://gallica.bnf.fr/iiif/ark:/12148/btv1b532008966/manifest.json
Hotan,Bibliothèque nationale de France (BnF) / Gallica,"Carte de la Côte de Guinée et du pays, autant qu'il est connu, depuis la Rivière de Serre-lione jusqu'à celle des Camarones ([Ier état]) / par le S[ieur] d'Anville, Géographe Ord[inaire] du Roi, Juillet 1729 ; Delahaye sculpsit",https://gallica.bnf.fr/iiif/ark:/12148/btv1b530532334/manifest.json
Hotan,Bibliothèque nationale de France (BnF) / Gallica,"Carte de la Côte de Guinée et du pays, autant qu'il est connu, depuis la Rivière de Serre-lione jusqu'à celle des Camarones ([Ier état]) / par le S[ieur] d'Anville, Géographe Ord[inaire] du Roi, Juillet 1729 ; Delahaye sculpsit",https://gallica.bnf.fr/iiif/ark:/12148/btv1b53099694w/manifest.json
Hotan,Bibliothèque nationale de France (BnF) / Gallica,"Carte de la Côte de Guinée et du pays, autant qu'il est connu, depuis la Rivière de Serre-lione jusqu'à celle des Camarones / par le S[ieur] d'Anville, Géographe Ord[inaire] du Roi, Juillet 1729 ; Delahaye sculpsit",https://gallica.bnf.fr/iiif/ark:/12148/btv1b531711636/manifest.json
Hotan,Bibliothèque nationale de France (BnF) / Gallica,"Carte de la Côte de Guinée et du pays, autant qu'il est connu, depuis la Rivière de Serre-lione jusqu'à celle des Camarones ([2e état]) / par le S[ieur] d'Anville, Géographe Ord[inaire] du Roi, Juillet 1729 ; Delahaye sculpsit",https://gallica.bnf.fr/iiif/ark:/12148/btv1b5973083s/manifest.json
Hotan,Bibliothèque nationale de France (BnF) / Gallica,"Carte de la Côte de Guinée et du Pays autant qu'il est connu depuis la Rivière de Serre-lioñe jusqu'à celle des Camarones / par le S[ieur] d'Anville, Géographe Ord[inaire] du Roi, Juillet 1729",https://gallica.bnf.fr/iiif/ark:/12148/btv1b530090901/manifest.json
Hotan,Bibliothèque nationale de France (BnF) / Gallica,Plan de la coste de Seyde et des campagnes qui sont aux environs d'ycelle 4 lieües au dessus et autant au dessous,https://gallica.bnf.fr/iiif/ark:/12148/btv1b55000205p/manifest.json
Hotan,Bibliothèque nationale de France (BnF) / Gallica,"Carte de la Côte de Guinée et du pays, autant qu'il est connu, depuis la Rivière de Serre-lione jusqu'à celle des Camarones / par le S[ieur] d'Anville, Géographe Ord[inaire] du Roi, Juillet 1729 ; Delahaye sculpsit",https://gallica.bnf.fr/iiif/ark:/12148/btv1b530834382/manifest.json
